#w(um) u1     u2
2.0879 0.0660 0.2520
2.0938 0.0660 0.2510
2.1016 0.0650 0.2500
2.1074 0.0650 0.2500
2.1152 0.0650 0.2500
2.1211 0.0640 0.2500
2.1289 0.0640 0.2500
2.1367 0.0630 0.2500
2.1426 0.0610 0.2530
2.1504 0.0590 0.2560
2.1562 0.0510 0.2540
2.1641 0.0400 0.2510
2.1719 0.0330 0.2480
2.1777 0.0450 0.2470
2.1855 0.0580 0.2450
2.1914 0.0630 0.2440
2.1992 0.0650 0.2420
2.2051 0.0660 0.2410
2.2129 0.0660 0.2410
2.2207 0.0660 0.2410
2.2266 0.0670 0.2400
2.2344 0.0670 0.2400
2.2402 0.0680 0.2390
2.2480 0.0670 0.2370
2.2559 0.0670 0.2360
2.2617 0.0670 0.2360
2.2695 0.0670 0.2360
2.2754 0.0670 0.2370
2.2832 0.0670 0.2380
2.2891 0.0670 0.2400
2.2969 0.0670 0.2390
2.3047 0.0680 0.2370
2.3105 0.0680 0.2370
2.3184 0.0690 0.2390
2.3242 0.0700 0.2410
2.3320 0.0700 0.2390
2.3398 0.0680 0.2360
2.3457 0.0680 0.2350
2.3535 0.0680 0.2370
2.3594 0.0680 0.2380
2.3672 0.0680 0.2370
2.3730 0.0680 0.2340
2.3809 0.0670 0.2330
2.3887 0.0660 0.2350
2.3945 0.0650 0.2350
2.4023 0.0660 0.2350
2.4082 0.0660 0.2350
2.4160 0.0670 0.2340
2.4238 0.0660 0.2320
2.4297 0.0660 0.2300
2.4375 0.0660 0.2310
2.4434 0.0660 0.2320
2.4512 0.0660 0.2320
2.4570 0.0650 0.2300
2.4648 0.0640 0.2290
2.4727 0.0640 0.2280
2.4785 0.0650 0.2270
2.4863 0.0660 0.2260
2.4922 0.0670 0.2230
2.5000 0.0680 0.2220
2.5078 0.0670 0.2240
2.5137 0.0670 0.2250
2.5215 0.0660 0.2250
2.5273 0.0650 0.2230
2.5352 0.0640 0.2220
2.5430 0.0650 0.2220
2.5488 0.0650 0.2210
2.5566 0.0650 0.2200
2.5625 0.0650 0.2170
2.5703 0.0660 0.2150
2.5762 0.0680 0.2140
2.5840 0.0700 0.2120
2.5918 0.0680 0.2140
2.5977 0.0640 0.2160
2.6055 0.0590 0.2170
2.6113 0.0500 0.2140
2.6191 0.0410 0.2110
2.6270 0.0460 0.2120
2.6328 0.0570 0.2140
2.6406 0.0650 0.2140
2.6465 0.0670 0.2120
2.6543 0.0680 0.2090
2.6602 0.0670 0.2080
2.6680 0.0630 0.2070
2.6758 0.0620 0.2070
2.6816 0.0640 0.2080
2.6895 0.0670 0.2090
2.6953 0.0690 0.2070
